期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
18012,3,22,24,29,34,7,11
18013,8,24,31,33,35,7,10
18014,14,16,18,24,31,1,8
18015,4,13,15,18,29,5,11
18016,1,2,12,13,23,9,12
18017,4,19,21,23,31,4,9
18018,6,8,13,24,28,6,12
18019,10,11,19,21,28,5,12
18020,1,10,13,14,21,9,12
18021,5,6,8,9,15,4,11
18022,2,10,19,33,35,5,6
18023,12,13,18,21,29,2,8
18024,2,16,24,30,32,4,7
18025,7,8,9,15,34,7,8
18026,1,2,3,4,30,3,5
18027,1,18,20,21,26,4,11
18028,4,19,25,30,35,4,7
18029,3,9,21,25,29,1,8
18030,5,18,21,28,32,9,11
18031,3,8,13,17,23,5,11
18032,7,10,17,32,35,5,12
18033,2,3,19,23,34,4,9
18034,8,11,22,27,32,3,7
18035,5,7,10,12,24,7,11
18036,11,17,18,21,27,7,8
18037,1,3,27,30,31,2,11
18038,14,23,25,31,32,1,3
18039,2,7,14,29,32,10,11
18040,5,7,18,27,31,1,8
18041,1,23,25,31,33,1,12
18042,3,19,25,29,35,5,9
18043,3,6,13,28,33,4,11
18044,2,4,6,18,21,5,8
18045,2,5,20,30,35,5,9
18046,10,20,22,29,32,5,10
18047,3,8,10,14,20,4,8
18048,2,3,11,20,25,2,7
18049,4,7,9,10,13,6,12
18050,22,24,26,34,35,6,12
18051,9,18,28,29,35,3,11
18052,5,16,18,19,25,2,7
18053,11,16,21,23,25,2,12
18054,9,10,12,20,30,1,7
18055,3,7,20,33,34,9,10
18056,2,4,16,28,34,5,7
18057,13,19,22,27,28,5,6
18058,9,11,12,26,32,4,10
18059,1,9,10,27,35,6,11
18060,4,22,27,29,31,2,10
18061,4,10,12,28,31,8,11
18062,12,14,19,23,35,2,7
18063,5,14,15,32,34,3,10
18064,1,3,4,11,29,2,4
18065,7,10,28,31,32,8,10
18066,1,20,23,32,33,1,4
18067,3,7,12,18,31,7,10
18068,8,12,16,26,33,5,6
18069,1,8,13,21,24,2,11
18070,2,5,10,16,30,4,7
18071,2,5,23,30,31,3,9
18072,5,12,17,24,26,1,2
18073,13,19,24,25,29,2,8
18074,3,9,12,28,30,4,12
18075,1,6,12,20,34,4,12
18076,7,18,28,29,32,6,8
18077,1,6,9,15,26,8,9
18078,7,11,12,22,30,3,6
18079,3,4,10,27,29,1,5
18080,7,16,24,26,31,10,11
18081,2,10,13,21,35,1,12
18082,1,2,14,17,18,8,10
18083,7,12,25,27,28,10,11
18084,6,11,17,22,35,11,12
18085,1,2,14,25,31,5,7
18086,16,22,24,29,31,4,5
18087,3,14,19,23,25,1,4
18088,8,9,21,25,33,1,8
18089,26,27,28,32,34,6,10
18090,6,20,24,33,34,4,11
18091,6,22,26,28,31,1,7
18092,5,7,14,18,19,4,10
18093,3,11,16,18,33,3,11
18094,11,16,25,30,34,8,10
18095,7,14,18,29,35,5,12
18096,13,14,20,28,34,6,10
18097,10,12,14,18,23,1,4
18098,2,15,18,25,27,5,7
18099,12,13,16,20,21,1,7
18100,6,20,21,26,30,6,9
18101,3,14,15,23,29,4,5
18102,6,7,13,22,24,10,12
18103,14,24,26,28,35,2,3
18104,1,13,14,26,28,7,11
18105,1,16,19,20,31,2,7
18106,4,14,17,24,31,1,4
18107,7,8,9,10,22,3,4
18108,9,10,24,31,32,7,12
18109,10,16,23,25,34,2,5
18110,6,19,21,27,28,3,11
18111,3,16,27,28,32,4,5
18112,3,7,8,9,29,9,10
18113,8,12,27,31,33,4,8
18114,12,18,26,28,29,5,6
18115,2,6,13,18,25,1,2
18116,1,14,17,21,33,7,10
18117,7,11,13,22,29,3,8
18118,4,5,14,21,34,6,9
18119,6,9,11,16,35,2,5
18120,21,22,25,27,30,8,9
18121,6,7,21,29,30,1,10
18122,8,9,21,30,31,5,12
18123,6,9,29,32,35,2,4
18124,8,10,12,19,20,10,11
18125,7,16,20,21,34,4,6
18126,11,13,15,21,27,5,6
18127,1,3,4,11,29,8,12
18128,11,12,14,16,26,8,9
18129,4,7,21,22,29,3,6
18130,3,4,16,18,25,1,11
18131,12,14,21,32,33,2,11
18132,3,16,22,23,27,1,4
18133,8,12,14,15,19,1,10
18134,4,5,19,31,35,2,12
18135,14,19,23,27,34,6,12
18136,3,11,12,19,21,5,11
18137,7,10,22,23,33,8,11
18138,1,23,24,28,33,4,5
18139,5,11,16,28,35,6,9
18140,1,6,8,12,15,3,4
18141,3,7,23,26,33,4,9
18142,19,24,28,29,34,10,11
18143,4,7,20,22,33,1,2
18144,6,17,18,24,31,7,11
18145,9,18,29,31,33,6,11
18146,3,8,9,13,33,1,2
18147,1,11,26,33,35,2,10
18148,2,6,24,33,34,2,3
18149,1,7,10,11,20,3,6
18150,5,12,13,31,34,10,12
18151,4,8,18,29,30,3,7
18152,2,4,5,12,28,8,11
18153,3,6,7,8,21,1,8
18154,14,22,23,26,30,3,5
19001,6,18,23,26,28,3,12
19002,2,7,14,22,31,1,7
19003,4,8,18,20,32,10,12
19004,15,16,17,31,32,3,9
19005,21,26,27,29,34,5,6
19006,14,17,19,25,30,4,8
19007,3,12,16,29,32,1,5
19008,3,8,17,20,24,6,11
19009,3,9,15,18,26,6,12
19010,3,7,24,25,27,2,12
19011,4,12,13,16,17,4,9
19012,5,9,17,18,19,7,10
19013,8,10,15,17,18,1,8
19014,12,14,20,28,31,9,11
19015,2,5,10,13,30,4,6
19016,3,5,13,16,28,2,6
19017,1,5,7,22,25,3,4
19018,3,18,19,26,34,6,12
19019,4,11,19,25,32,1,2
19020,1,8,16,27,34,3,12
19021,7,13,17,24,33,1,10
19022,1,4,14,15,21,1,5
19023,1,3,14,26,30,6,11
19024,11,17,19,29,33,8,9
19025,6,13,16,19,29,3,7
19026,10,12,15,17,19,2,3
19027,16,18,24,25,27,2,7
19028,6,22,28,29,33,2,7
19029,1,4,18,24,28,2,3
19030,7,9,13,14,33,2,4
19031,3,8,21,26,33,4,5
19032,1,4,7,11,30,7,8
19033,1,2,4,16,24,7,9
19034,8,12,15,27,30,1,2
19035,1,3,5,7,18,8,9
19036,3,9,21,28,30,1,12
19037,6,16,26,33,35,4,8
19038,5,11,16,18,27,7,12
19039,1,12,18,26,35,6,12
19040,1,3,31,32,34,1,3
19041,12,19,20,22,28,2,6
19042,4,10,13,28,33,11,12
19043,2,6,7,12,15,6,12
19044,3,6,10,12,31,1,2
19045,1,4,16,19,33,3,12
19046,2,8,14,15,35,10,12
19047,3,4,10,16,32,4,9
19048,6,10,16,29,33,5,11
19049,10,16,22,26,27,7,11
19050,4,15,16,20,35,3,12
19051,11,15,16,20,29,4,8
19052,4,10,15,20,24,7,11
19053,1,11,19,26,35,11,12
19054,2,18,23,27,30,5,10
19055,2,4,6,19,22,2,6
19056,1,7,10,12,23,6,8
19057,8,14,16,34,35,6,12
19058,3,10,13,14,32,7,11
19059,7,8,15,27,32,8,12
19060,1,11,12,18,21,8,10
19061,1,2,13,14,26,5,11
19062,5,16,23,25,28,1,12
19063,5,8,15,18,21,4,8
19064,7,8,13,19,29,11,12
19065,3,8,10,23,27,2,12
19066,4,10,11,18,31,5,8
19067,3,8,11,15,16,2,10
19068,4,5,8,17,27,6,11
19069,8,22,23,33,34,4,6
19070,2,13,15,22,34,2,12
19071,7,13,14,15,22,7,11
19072,2,4,6,9,18,7,10
19073,4,11,19,20,24,8,11
19074,8,9,13,14,34,5,7
19075,5,6,7,11,16,2,11
19076,1,6,11,23,29,1,11
19077,1,15,17,21,33,7,10
19078,5,10,21,26,30,1,7
19079,10,13,16,28,35,4,5
19080,5,13,18,19,24,2,7
19081,6,24,26,30,33,2,7
19082,6,18,20,21,31,3,4
19083,17,24,26,28,32,7,9
19084,12,23,25,34,35,1,7
19085,4,5,6,15,26,8,11
19086,5,15,16,28,31,2,7
19087,5,6,18,19,27,7,12
19088,1,5,18,27,33,6,8
19089,9,14,18,33,34,3,12
19090,13,19,28,30,33,2,12
19091,4,13,20,26,28,3,12
19092,2,11,15,27,30,2,5
19093,16,17,26,29,35,1,7
19094,1,12,14,26,27,7,9
19095,3,12,17,19,31,2,6
19096,2,12,22,23,27,2,6
19097,10,17,20,30,35,10,12
19098,13,15,17,19,22,3,4
19099,4,6,18,27,33,7,9
19100,5,8,12,19,21,6,11
19101,5,11,18,19,27,5,6
19102,5,10,15,19,31,3,6
19103,5,12,22,27,32,4,7
19104,2,7,19,22,28,3,5
19105,1,4,9,14,17,1,6
19106,5,8,10,32,35,2,10
19107,5,9,19,27,35,2,3
19108,24,27,28,31,34,4,8
19109,2,7,8,20,25,11,12
19110,1,19,23,24,30,4,5
19111,6,15,20,23,27,8,10
19112,3,10,16,21,33,5,6
19113,3,11,27,34,35,1,2
19114,3,5,7,20,23,4,11
19115,1,18,21,28,32,5,12
19116,2,10,16,21,23,2,12
19117,1,18,21,25,35,7,8
19118,2,3,13,19,26,2,3
19119,3,6,9,23,34,2,11
19120,6,15,17,22,25,1,9
19121,1,2,3,7,17,4,10
19122,5,19,25,31,33,10,11
19123,3,13,15,26,30,5,12
19124,7,17,26,27,30,6,12
19125,5,8,9,14,34,2,5
19126,5,9,16,18,30,4,7
19127,4,7,8,11,16,9,11
19128,20,21,25,34,35,3,12
19129,10,13,18,23,30,6,12
19130,1,13,20,21,26,4,10
19131,5,6,14,27,29,6,10
19132,3,5,6,13,18,10,12
19133,3,12,24,27,34,1,12
19134,5,6,7,14,17,10,11
19135,4,5,19,25,26,1,11
19136,3,16,20,26,29,3,9
19137,3,5,12,13,26,7,12
19138,4,6,7,20,29,2,4
19139,1,5,7,8,11,6,10
19140,3,7,8,25,27,3,5
19141,2,10,20,21,35,1,12
19142,3,4,26,29,33,6,7
19143,4,22,23,24,32,6,12
19144,2,5,20,28,31,2,11
19145,5,9,19,22,32,3,5
19146,10,11,26,33,34,1,6
19147,9,12,19,22,33,7,8
19148,3,4,7,11,30,8,9
19149,1,2,7,33,35,6,10
19150,7,11,12,16,33,5,7
20001,17,25,26,32,34,4,7
20002,3,7,18,25,30,2,7
20003,23,25,26,30,34,3,7
20004,17,20,21,29,30,5,9
20005,6,10,33,34,35,1,3
20006,9,22,25,31,32,8,12
20007,2,10,19,24,30,5,8
20008,14,17,19,24,32,1,6
20009,19,29,31,34,35,6,10
20010,1,8,13,24,32,2,9
20011,2,13,19,22,23,2,7
20012,1,6,18,32,34,1,3
20013,1,4,5,11,35,3,9
20014,3,7,9,17,21,3,6
20015,1,7,23,24,26,3,7
20016,4,8,19,31,35,1,2
20017,1,6,7,9,10,2,11
20018,9,14,16,24,26,4,12
20019,1,12,22,23,33,1,12
20020,8,10,12,26,32,5,9
20021,10,12,24,31,33,4,9
20022,4,14,20,28,35,2,3
20023,4,11,23,26,30,1,6
20024,3,5,6,24,30,3,7
20025,2,14,21,22,26,5,7
20026,3,15,26,32,34,8,12
20027,4,7,20,25,32,3,9
20028,4,5,28,34,35,1,8
20029,11,14,17,22,30,7,9
20030,1,8,17,27,30,5,6
20031,1,2,5,15,21,4,5
20032,2,3,9,16,32,3,4
20033,7,19,20,31,34,5,8
20034,11,13,20,27,31,2,4
20035,10,11,22,26,28,2,4
20036,1,5,11,12,26,2,7
20037,1,4,10,11,14,2,5
20038,4,15,20,22,24,1,9
20039,1,5,15,22,31,2,9
20040,2,17,20,28,29,1,7
20041,7,13,20,29,34,4,7
20042,3,4,5,11,22,5,6
20043,12,13,17,31,32,1,6
20044,1,3,22,28,30,2,5
20045,2,9,16,23,27,3,8
20046,15,24,27,30,34,4,12
20047,4,18,27,28,30,3,10
20048,3,9,10,15,16,7,9
20049,3,11,15,22,30,8,10
20050,3,14,16,22,34,2,6
20051,2,7,9,19,33,1,7
20052,9,11,26,28,35,6,7
20053,2,15,18,21,27,3,6
20054,11,14,15,19,20,3,7
20055,3,4,12,18,34,10,12
20056,3,11,25,29,34,3,6
20057,17,20,21,22,31,2,8
20058,1,15,19,26,27,5,10
20059,1,15,22,28,32,3,11
20060,12,14,25,34,35,3,12
20061,7,8,12,21,26,1,6
20062,1,5,14,23,31,2,7
20063,11,18,20,21,33,6,7
20064,5,10,23,34,35,1,11
20065,13,15,26,32,33,5,7
20066,6,14,21,34,35,3,10
20067,1,8,14,16,28,4,10
20068,15,20,23,26,33,2,8
20069,5,7,26,30,31,7,10
20070,1,22,30,31,32,4,12
20071,1,12,16,28,33,3,12
20072,11,15,18,20,27,5,6
20073,4,10,12,23,27,8,9
20074,3,9,10,12,21,4,11
20075,2,9,10,21,35,1,7
20076,1,8,18,28,30,10,12
20077,17,23,28,29,32,1,3
20078,14,18,20,28,34,10,11
20079,4,16,24,29,35,2,12
20080,3,6,22,24,25,9,10
20081,1,13,15,32,35,8,10
20082,2,11,12,21,34,4,8
20083,1,2,17,32,34,4,9
20084,2,10,20,24,31,6,12
20085,3,4,11,15,28,2,3
20086,8,11,15,20,28,4,10
20087,1,4,20,23,29,4,8
20088,2,7,23,26,35,1,12
20089,13,16,20,22,27,1,2
20090,5,6,27,28,29,11,12
20091,12,16,20,23,31,5,12
20092,8,11,17,31,35,7,11
20093,6,14,25,27,28,4,11
20094,4,6,7,8,16,2,8
20095,2,18,25,26,32,2,7
20096,7,8,10,25,28,3,11
20097,5,25,27,30,34,6,12
20098,4,9,15,24,35,4,10
20099,2,3,11,15,27,4,12
20100,4,5,8,22,33,7,10
20101,3,4,5,9,34,7,9
20102,7,11,18,20,29,9,12
20103,7,12,13,19,23,2,8
20104,3,12,23,26,30,4,7
20105,3,8,12,13,22,4,12
20106,2,3,11,14,27,4,10
20107,1,4,13,17,28,3,7
20108,2,3,6,7,33,8,9
20109,2,20,21,23,32,6,12
20110,11,16,20,21,28,5,11
20111,5,7,9,20,28,2,7
20112,8,11,13,30,32,2,6
20113,6,14,18,28,33,2,5
20114,10,12,21,24,30,3,7
20115,1,9,18,19,23,1,9
20116,8,10,12,16,22,3,9
20117,7,19,20,23,24,5,10
20118,1,9,15,30,33,4,9
20119,14,22,24,28,32,7,8
20120,5,25,26,30,35,4,10
20121,9,17,27,28,35,3,8
20122,8,19,29,34,35,6,11
20123,1,7,11,15,21,4,11
20124,11,15,24,26,35,4,5
20125,1,2,3,8,22,1,4
20126,1,4,9,22,28,4,12
20127,1,4,17,18,26,3,10
20128,9,12,13,26,33,4,10
20129,10,22,27,33,34,1,11
20130,16,17,23,26,32,2,12
20131,8,25,27,29,35,2,3
20132,3,15,16,17,21,7,10
20133,11,24,26,33,35,8,9
20134,8,11,13,22,25,4,7
21001,2,6,12,19,33,8,9
21002,2,16,26,31,34,9,11
21003,7,21,28,31,35,4,10
21004,5,10,17,23,28,2,8
21005,3,7,10,12,35,3,5
21006,4,22,25,28,35,4,5
21007,5,23,30,34,35,8,10
21008,5,19,20,27,33,3,8
21009,1,3,20,29,32,5,12
21010,1,5,16,22,34,8,11
21011,6,9,11,14,21,1,3
21012,6,12,20,23,33,1,9
21013,21,27,28,30,34,8,11
21014,7,13,20,27,29,4,9
21015,4,8,17,19,25,1,7
21016,8,9,10,19,34,1,2
21017,17,21,26,29,32,2,7
21018,2,20,23,26,34,5,10
21019,1,12,13,28,29,3,4
21020,7,21,22,30,33,4,6
21021,16,18,29,33,35,9,12
21022,2,12,22,30,33,2,4
21023,7,9,13,16,32,2,9
21024,11,14,21,24,31,2,10
21025,17,18,23,30,31,10,12
21026,7,11,20,24,27,1,11
21027,9,21,22,26,30,4,12
21028,2,3,5,17,29,4,10
21029,2,6,10,32,33,4,7
21030,18,23,25,26,32,2,7
21031,1,4,19,20,34,3,5
21032,1,11,14,34,35,7,10
21033,1,3,5,30,32,1,5
21034,8,10,14,25,34,7,8
21035,5,11,16,30,32,3,4
21036,8,17,25,28,33,7,11
21037,10,21,27,29,33,4,12
21038,9,11,20,29,32,1,7
21039,4,12,14,21,35,2,11
21040,2,3,9,16,19,3,7
21041,2,5,9,11,32,4,9
21042,9,15,20,23,29,4,5
21043,7,12,17,19,34,1,10
21044,6,18,31,33,35,10,11
21045,1,4,6,11,19,7,9
21046,6,8,12,14,18,6,8
21047,1,6,9,25,33,4,8
21048,4,7,17,21,27,10,12
21049,1,10,22,23,25,2,12
21050,9,22,32,33,35,5,10
21051,1,4,14,16,19,3,4
21052,2,11,13,14,30,9,12
21053,3,6,15,17,35,7,11
21054,3,6,17,20,25,3,9
21055,3,6,10,11,24,10,11
21056,3,11,16,21,26,9,10
21057,5,7,19,20,28,5,7
21058,13,15,17,23,34,1,11
21059,4,16,27,28,35,2,9
21060,9,13,25,31,33,3,7
21061,15,19,20,26,32,4,7
21062,4,6,23,32,34,5,7
21063,5,9,14,29,30,9,11
21064,1,17,19,32,34,6,10
21065,23,25,30,31,35,7,8
21066,24,26,29,34,35,9,11
21067,1,4,22,23,34,8,9
21068,2,20,21,26,30,2,10
21069,1,3,24,32,33,4,6
21070,3,20,21,22,24,6,12
21071,8,11,16,29,35,1,4
21072,2,3,15,22,26,3,11
21073,8,12,14,20,24,6,10
21074,11,14,18,20,25,3,7
21075,6,14,15,17,20,1,5
21076,6,13,22,25,26,2,4
21077,2,6,9,21,25,6,8
21078,2,8,17,19,25,1,5
21079,6,14,19,26,33,8,11
21080,15,16,20,29,30,6,10
21081,5,13,24,29,35,7,8
21082,1,14,22,29,33,3,10
21083,7,9,11,26,35,1,8
21084,2,10,14,30,33,6,9
21085,1,12,15,26,35,10,11
21086,2,3,7,16,17,6,10
21087,10,14,15,25,28,3,10
21088,2,14,31,34,35,1,7
21089,1,17,24,28,35,10,12
21090,6,7,19,26,32,6,12
21091,1,4,10,21,29,3,5
21092,12,14,27,28,34,3,7
21093,20,25,27,28,31,8,11
21094,5,6,24,27,33,5,12
21095,10,15,19,20,30,11,12
21096,7,8,10,20,21,1,5
21097,11,26,30,31,33,3,10
21098,2,7,21,27,33,7,9
21099,15,19,27,28,30,3,4
21100,7,11,23,26,28,2,7
21101,13,18,19,27,32,6,11
21102,2,8,11,16,23,2,7
21103,4,10,23,30,31,5,11
21104,23,25,26,30,33,3,11
21105,7,10,11,17,18,4,9
21106,2,13,14,32,34,2,12
21107,3,5,13,20,25,7,11
21108,5,19,22,26,35,2,6
21109,3,4,7,27,31,6,9
21110,11,14,29,31,32,11,12
21111,7,8,15,19,28,8,9
21112,18,21,22,23,35,11,12
21113,17,18,25,27,28,4,8
21114,8,9,13,29,30,1,11
21115,8,13,19,20,29,6,10
21116,4,25,28,29,35,3,11
21117,11,18,21,22,33,5,6
21118,14,17,18,28,34,2,3
21119,1,2,9,16,30,9,10
21120,5,10,21,25,31,5,11
21121,2,15,19,29,30,2,9
21122,14,15,26,27,29,4,5
21123,8,23,26,27,33,8,9
21124,10,17,22,25,35,7,9
21125,17,19,21,27,31,4,9
21126,1,11,12,34,35,9,12
21127,1,2,15,17,26,2,11
21128,14,17,18,23,27,5,8
21129,2,16,17,18,34,4,10
21130,2,3,14,27,28,5,10
21131,6,8,16,34,35,5,6
21132,4,21,28,29,33,3,11
21133,8,9,17,26,28,6,8
21134,2,6,14,19,28,1,6
21135,4,7,17,29,31,5,6
21136,8,12,19,27,33,2,5
21137,2,7,13,14,19,4,5
21138,9,11,12,15,31,5,11
21139,5,13,18,23,34,8,9
21140,5,24,26,33,35,9,12
21141,2,8,16,29,34,5,12
21142,11,13,17,19,25,2,9
21143,9,17,19,29,34,4,11
21144,3,20,25,30,34,2,9
21145,3,8,25,29,30,1,6
21146,3,5,8,18,20,9,11
21147,1,2,8,12,26,1,7
21148,1,4,12,16,29,4,8
21149,20,26,28,30,35,10,11
21150,4,10,11,23,26,7,10
22001,8,11,19,22,29,3,11
22002,4,6,7,9,24,4,12
22003,2,18,24,25,34,8,12
22004,7,20,27,30,33,3,4
22005,2,13,17,19,34,5,9
22006,1,5,7,17,20,5,12
22007,5,22,23,25,35,3,11
22008,1,2,13,18,34,6,7
22009,13,14,18,31,33,7,10
22010,4,19,25,31,35,2,11
22011,3,5,17,24,32,5,12
22012,3,5,10,33,34,7,10
22013,4,9,16,25,32,5,6
22014,1,4,10,18,32,1,9
22015,1,2,8,12,30,5,12
22016,1,7,17,26,32,1,9
22017,10,14,18,23,25,7,11
22018,16,21,29,31,34,6,9
22019,1,4,7,17,21,1,2
22020,16,17,30,31,35,8,9
22021,11,15,16,18,35,6,9
22022,1,5,14,17,28,6,7
22023,4,5,18,20,25,11,12
22024,1,2,11,30,35,1,12
22025,4,7,22,24,29,1,7
22026,11,14,22,23,27,8,10
22027,3,6,11,31,32,5,12
22028,4,9,16,17,35,1,7
22029,7,8,10,14,17,10,12
22030,12,14,15,21,30,1,9
22031,7,14,16,20,28,4,8
22032,5,9,18,31,32,1,5
22033,8,15,16,19,33,3,4
22034,2,10,24,27,28,6,7
22035,9,11,13,23,31,5,8
22036,18,19,21,26,34,6,7
22037,1,9,17,20,28,6,10
22038,7,9,11,12,26,9,12
22039,1,8,11,22,31,5,11
22040,10,19,25,29,33,8,12
22041,5,15,25,26,33,6,11
22042,8,10,11,29,32,2,6
22043,2,16,17,24,30,9,12
22044,1,2,16,17,20,3,7
22045,2,3,7,12,20,1,5
22046,6,7,12,22,27,3,5
22047,7,10,11,12,33,3,11
22048,16,22,28,29,32,8,9
22049,6,10,20,28,35,1,10
22050,2,10,21,24,30,8,10
22051,1,16,17,19,33,5,6
22052,1,13,18,29,35,4,9
22053,9,17,19,20,25,1,9
22054,5,16,21,23,34,7,10
22055,1,2,12,15,23,4,6
22056,2,11,15,17,31,7,9
22057,6,12,18,21,35,7,10
22058,3,4,24,26,35,7,8
22059,4,15,18,32,34,4,9
22060,2,6,10,11,20,3,9
22061,6,9,19,22,30,1,6
22062,5,9,11,12,31,7,11
22063,2,3,22,26,31,6,10
22064,2,19,22,25,35,5,7
22065,5,10,13,22,28,1,4
22066,2,24,25,26,34,3,12
22067,4,14,15,32,33,10,11
22068,3,6,10,15,23,3,8
22069,2,3,23,28,35,2,9
22070,1,7,17,23,35,7,11
22071,9,15,19,25,29,8,9
22072,1,12,13,15,30,3,7
22073,11,18,21,25,32,2,4
22074,2,6,21,25,28,2,6
22075,4,12,13,17,18,7,9
22076,5,17,30,34,35,2,9
22077,5,10,11,16,19,1,10
22078,2,3,18,20,27,1,2
22079,7,10,19,26,32,8,12
22080,10,17,30,31,34,3,6
22081,5,10,19,31,32,9,10
22082,4,26,27,30,33,2,9
22083,2,9,17,26,32,4,6
22084,3,11,19,25,27,4,12
22085,11,16,31,33,35,6,8
22086,4,10,21,28,31,8,11
22087,4,6,10,24,28,6,12
22088,1,8,10,20,35,6,11
22089,1,20,21,31,33,3,11
22090,1,20,24,25,31,9,12
22091,2,11,20,22,34,4,12
22092,1,4,12,23,29,5,12
22093,7,11,14,21,29,7,10
22094,3,4,7,12,19,2,5
22095,5,8,22,25,35,2,7
22096,16,19,24,27,33,1,6
22097,5,13,22,28,29,5,11
22098,1,3,6,11,13,3,11
22099,7,18,25,27,33,4,5
22100,10,19,20,23,31,3,7
22101,2,4,6,7,8,3,6
22102,1,5,14,20,30,2,4
22103,8,12,16,21,32,1,12
22104,3,5,13,19,25,2,5
22105,1,8,9,21,22,1,4
22106,16,17,21,28,32,4,7
22107,7,9,19,28,29,8,10
22108,4,7,13,26,28,7,11
22109,5,9,24,29,35,5,12
22110,2,13,16,18,23,3,6
22111,6,12,16,19,31,6,10
22112,4,11,18,20,26,6,12
22113,13,15,22,31,33,5,12
22114,11,21,24,27,28,5,10
22115,17,19,20,23,27,3,8
22116,1,7,20,22,31,7,12
22117,9,12,15,21,32,2,7
22118,2,5,15,17,26,2,8
22119,1,9,16,25,29,4,9
22120,11,22,26,30,33,3,5
22121,4,15,16,20,21,4,5
22122,4,15,17,19,25,6,12
22123,2,20,28,29,30,7,10
22124,2,4,11,25,30,6,12
22125,3,7,14,16,19,1,11
22126,4,5,8,22,35,1,3
22127,2,3,8,9,20,4,10
22128,10,19,21,23,35,4,10
22129,10,17,23,34,35,1,4
22130,5,7,15,18,23,5,10
22131,2,6,8,10,17,5,6
22132,2,27,30,34,35,9,12
22133,1,2,14,30,31,6,9
22134,3,16,23,27,32,3,6
22135,9,10,27,31,32,1,3
22136,1,11,15,17,33,3,11
22137,5,6,8,15,20,7,8
22138,5,13,16,27,33,7,12
22139,1,13,14,22,35,2,5
22140,5,15,25,26,29,4,12
22141,5,6,14,24,25,2,4
22142,7,12,14,29,35,1,11
22143,10,13,14,27,33,7,8
22144,3,4,8,15,21,4,7
22145,10,20,29,30,35,6,9
22146,1,21,23,28,35,7,9
22147,4,12,22,28,30,9,11
22148,4,5,6,26,27,7,12
22149,15,19,22,26,28,2,7
22150,6,7,26,29,30,3,12
23001,18,19,24,27,34,11,12
23002,11,14,21,26,27,2,7
23003,5,6,14,21,22,2,9
23004,4,13,15,20,22,4,8
23005,1,3,10,20,29,6,11
23006,2,4,12,27,35,6,7
23007,2,3,24,30,32,1,6
23008,4,9,17,22,25,1,5
23009,1,5,11,15,33,1,10
23010,5,6,13,23,26,1,6
23011,2,7,8,17,25,1,3
23012,7,16,17,18,28,2,3
23013,1,2,9,23,25,2,6
23014,3,8,18,22,24,1,9
23015,8,16,24,25,34,8,12
23016,2,4,12,31,32,7,11
23017,2,5,9,22,27,10,11
23018,4,8,17,26,30,3,11
23019,5,8,9,11,15,6,8
23020,5,6,23,25,28,6,9
23021,2,9,18,23,27,3,5
23022,7,11,15,26,28,8,10
23023,9,21,23,25,33,3,10
23024,11,15,24,27,30,1,10
23025,3,9,27,30,31,11,12
23026,2,13,24,27,30,1,6
23027,9,10,12,15,23,3,6
23028,1,3,29,30,34,4,12
23029,7,25,27,34,35,9,11
23030,6,11,12,20,35,5,12
23031,5,7,8,16,25,3,11
23032,5,6,18,28,30,2,7
23033,4,6,10,11,25,7,9
23034,7,9,10,15,24,4,12
23035,7,14,23,25,29,2,11
23036,1,13,22,26,31,2,10
23037,6,8,16,20,24,7,8
23038,4,10,18,27,32,10,12
23039,2,24,26,30,34,6,7
23040,4,5,18,22,30,5,12
23041,5,8,13,26,35,5,9
23042,2,16,21,23,27,1,8
23043,2,4,17,20,27,1,8
23044,2,6,7,8,15,7,10
23045,7,10,13,28,31,4,5
23046,13,21,25,28,32,2,10
23047,10,12,13,24,25,11,12
23048,7,13,16,25,32,9,11
23049,3,17,22,26,28,7,12
23050,8,9,14,25,29,4,6
23051,3,11,19,29,33,3,12
23052,2,8,11,30,33,5,8
23053,1,3,11,14,20,2,11
23054,19,25,30,31,34,7,9
23055,6,8,12,13,15,1,6
23056,13,22,24,33,34,1,2
23057,1,5,6,19,24,5,11
23058,19,22,29,32,35,5,8
23059,9,13,23,25,28,4,7
23060,2,7,19,24,30,9,12
23061,7,11,21,30,32,5,7
23062,6,8,22,24,30,1,8
23063,4,18,29,31,34,6,9
23064,2,6,9,31,32,3,7
23065,8,14,16,21,25,3,12
23066,6,11,13,30,32,1,3
23067,2,28,30,33,35,2,10
23068,21,22,24,27,31,7,8
23069,8,20,21,25,32,5,7
23070,10,26,29,32,33,3,11
23071,2,11,12,32,34,10,12
23072,5,6,9,11,14,2,4
23073,15,25,28,30,35,8,10
23074,3,13,22,29,34,2,9
23075,7,17,20,23,32,5,11
23076,8,9,11,26,34,2,7
23077,5,16,18,26,35,3,6
23078,2,3,6,26,27,7,8
23079,6,8,26,29,34,5,8
23080,1,2,9,16,30,1,11
23081,5,6,23,28,35,7,10
23082,2,8,9,15,20,3,9
23083,13,15,21,25,32,9,10
23084,3,5,8,24,32,7,8
23085,11,12,26,31,35,5,7
23086,3,11,15,20,35,7,11
23087,3,4,16,19,24,4,5
23088,8,14,16,22,24,9,12
23089,3,12,20,26,35,2,12
23090,8,11,12,19,35,11,12
23091,6,16,18,28,29,7,11
23092,3,16,21,26,32,3,12
23093,11,14,17,19,21,1,5
23094,12,19,22,28,32,8,12
